CustomerID,SeniorCitizen,Partner,Dependents,Tenure,InternetService,OnlineSecurity,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,AvgMonthlySpend,TenureBucket
3655-SNQYZ,0,Yes,Yes,69,Fiber optic,Yes,Yes,Two year,No,Credit card,113.25,7895.15,0,114.42246376811593,4-6yr
8191-XWSZG,0,No,No,52,No,No,No,One year,No,Mailed check,20.65,1022.95,0,19.672115384615385,4-6yr
9959-WOFKT,0,No,Yes,71,Fiber optic,Yes,No,Two year,No,Bank transfer,106.7,7382.25,0,103.97535211267606,4-6yr
4190-MFLUW,0,Yes,Yes,10,DSL,No,Yes,Month-to-month,No,Credit card,55.2,528.35,1,52.835,0-1yr
4183-MYFRB,0,No,No,21,Fiber optic,No,No,Month-to-month,Yes,Electronic check,90.05,1862.9,0,88.70952380952382,1-2yr
8779-QRDMV,1,No,No,1,DSL,No,No,Month-to-month,Yes,Electronic check,39.65,39.65,1,39.65,0-1yr
1680-VDCWW,0,Yes,No,12,No,No,No,One year,No,Bank transfer,19.8,202.25,0,16.854166666666668,0-1yr
1066-JKSGK,0,No,No,1,No,No,No,Month-to-month,No,Mailed check,20.15,20.15,1,20.15,0-1yr
3638-WEABW,0,Yes,No,58,DSL,No,Yes,Two year,Yes,Credit card,59.9,3505.1,0,60.432758620689654,4-6yr
6322-HRPFA,0,Yes,Yes,49,DSL,Yes,Yes,Month-to-month,No,Credit card,59.6,2970.3,0,60.61836734693878,4-6yr
6865-JZNKO,0,No,No,30,DSL,Yes,No,Month-to-month,Yes,Bank transfer,55.3,1530.6,0,51.019999999999996,2-4yr
6467-CHFZW,0,Yes,Yes,47,Fiber optic,No,No,Month-to-month,Yes,Electronic check,99.35,4749.15,1,101.04574468085106,2-4yr
8665-UTDHZ,0,Yes,Yes,1,DSL,No,No,Month-to-month,No,Electronic check,30.2,30.2,1,30.2,0-1yr
5248-YGIJN,0,Yes,No,72,DSL,Yes,Yes,Two year,Yes,Credit card,90.25,6369.45,0,88.46458333333334,4-6yr
8773-HHUOZ,0,No,Yes,17,DSL,No,No,Month-to-month,Yes,Mailed check,64.7,1093.1,1,64.3,1-2yr
3841-NFECX,1,Yes,No,71,Fiber optic,Yes,Yes,Two year,Yes,Credit card,96.35,6766.95,0,95.30915492957746,4-6yr
4929-XIHVW,1,Yes,No,2,Fiber optic,No,No,Month-to-month,Yes,Credit card,95.5,181.65,0,90.825,0-1yr
6827-IEAUQ,0,Yes,Yes,27,DSL,Yes,Yes,One year,No,Mailed check,66.15,1874.45,0,69.42407407407407,2-4yr
7310-EGVHZ,0,No,No,1,No,No,No,Month-to-month,No,Bank transfer,20.2,20.2,0,20.2,0-1yr
3413-BMNZE,1,No,No,1,DSL,No,No,Month-to-month,No,Bank transfer,45.25,45.25,0,45.25,0-1yr
6234-RAAPL,0,Yes,Yes,72,Fiber optic,Yes,Yes,Two year,No,Bank transfer,99.9,7251.7,0,100.71805555555555,4-6yr
6047-YHPVI,0,No,No,5,Fiber optic,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,1,63.379999999999995,0-1yr
6572-ADKRS,0,No,No,46,Fiber optic,No,No,Month-to-month,Yes,Credit card,74.8,3548.3,0,77.13695652173914,2-4yr
5380-WJKOV,0,No,No,34,Fiber optic,No,No,Month-to-month,Yes,Electronic check,106.35,3549.25,1,104.38970588235294,2-4yr
8168-UQWWF,0,No,No,11,Fiber optic,No,No,Month-to-month,Yes,Bank transfer,97.85,1105.4,1,100.4909090909091,0-1yr
8865-TNMNX,0,Yes,Yes,10,DSL,No,No,One year,No,Mailed check,49.55,475.7,0,47.57,0-1yr
9489-DEDVP,0,Yes,Yes,70,DSL,Yes,No,Two year,Yes,Credit card,69.2,4872.35,0,69.605,4-6yr
9867-JCZSP,0,Yes,Yes,17,No,No,No,One year,No,Mailed check,20.75,418.25,0,24.602941176470587,1-2yr
4671-VJLCL,0,No,No,63,DSL,Yes,Yes,Two year,Yes,Credit card,79.85,4861.45,0,77.16587301587302,4-6yr
4080-IIARD,0,Yes,No,13,DSL,Yes,Yes,Month-to-month,Yes,Electronic check,76.2,981.45,0,75.49615384615385,1-2yr
3714-NTNFO,0,No,No,49,Fiber optic,No,No,Month-to-month,Yes,Electronic check,84.5,3906.7,0,79.72857142857143,4-6yr
5948-UJZLF,0,No,No,2,DSL,No,No,Month-to-month,No,Mailed check,49.25,97.0,0,48.5,0-1yr
7760-OYPDY,0,No,No,2,Fiber optic,No,No,Month-to-month,Yes,Electronic check,80.65,144.15,1,72.075,0-1yr
7639-LIAYI,0,No,No,52,DSL,Yes,Yes,Two year,Yes,Credit card,79.75,4217.8,0,81.11153846153846,4-6yr
2954-PIBKO,0,Yes,Yes,69,DSL,Yes,Yes,Two year,Yes,Credit card,64.15,4254.1,0,61.6536231884058,4-6yr
8012-SOUDQ,1,No,No,43,Fiber optic,No,No,Month-to-month,Yes,Electronic check,90.25,3838.75,0,89.27325581395348,2-4yr
9420-LOJKX,0,No,No,15,Fiber optic,Yes,No,Month-to-month,Yes,Credit card,99.1,1426.4,1,95.09333333333333,1-2yr
6575-SUVOI,1,Yes,No,25,DSL,Yes,Yes,Month-to-month,Yes,Credit card,69.5,1752.65,0,70.10600000000001,2-4yr
7495-OOKFY,1,Yes,No,8,Fiber optic,No,No,Month-to-month,Yes,Credit card,80.65,633.3,1,79.1625,0-1yr
4667-QONEA,1,Yes,Yes,60,DSL,Yes,Yes,One year,Yes,Credit card,74.85,4456.35,0,74.27250000000001,4-6yr
1658-BYGOY,1,No,No,18,Fiber optic,No,No,Month-to-month,Yes,Electronic check,95.45,1752.55,1,97.36388888888888,1-2yr
8769-KKTPH,0,Yes,Yes,63,Fiber optic,Yes,No,One year,Yes,Credit card,99.65,6311.2,0,100.17777777777778,4-6yr
5067-XJQFU,1,Yes,Yes,66,Fiber optic,No,Yes,One year,Yes,Electronic check,108.45,7076.35,0,107.21742424242424,4-6yr
3957-SQXML,0,Yes,Yes,34,No,No,No,Two year,No,Credit card,24.95,894.3,0,26.302941176470586,2-4yr
5954-BDFSG,0,No,No,72,Fiber optic,No,Yes,Two year,Yes,Credit card,107.5,7853.7,0,109.07916666666667,4-6yr
0434-CSFON,0,Yes,No,47,Fiber optic,No,No,Month-to-month,Yes,Electronic check,100.5,4707.1,0,100.15106382978725,2-4yr
1215-FIGMP,0,No,No,60,Fiber optic,No,No,Month-to-month,Yes,Bank transfer,89.9,5450.7,0,90.845,4-6yr
0526-SXDJP,0,Yes,No,72,DSL,Yes,No,Two year,No,Bank transfer,42.1,2962.0,0,41.138888888888886,4-6yr
0557-ASKVU,0,Yes,Yes,18,DSL,No,Yes,One year,Yes,Credit card,54.4,957.1,0,53.172222222222224,1-2yr
5698-BQJOH,0,No,No,9,Fiber optic,No,No,Month-to-month,No,Electronic check,94.4,857.25,1,95.25,0-1yr
5122-CYFXA,0,No,No,3,DSL,No,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,0,81.36666666666666,0-1yr
8627-ZYGSZ,0,Yes,No,47,Fiber optic,No,No,One year,Yes,Electronic check,78.9,3650.35,0,77.66702127659575,2-4yr
3410-YOQBQ,0,No,No,31,DSL,No,Yes,Two year,No,Mailed check,79.2,2497.2,0,80.55483870967741,2-4yr
3170-NMYVV,0,Yes,Yes,50,No,No,No,Two year,No,Bank transfer,20.15,930.9,0,18.618,4-6yr
7410-OIEDU,0,No,No,10,Fiber optic,Yes,No,Month-to-month,Yes,Mailed check,79.85,887.35,0,88.735,0-1yr
2273-QCKXA,0,No,No,1,DSL,No,Yes,Month-to-month,No,Mailed check,49.05,49.05,0,49.05,0-1yr
0731-EBJQB,0,Yes,Yes,52,No,No,No,One year,Yes,Electronic check,20.4,1090.65,0,20.974038461538463,4-6yr
1891-QRQSA,1,Yes,Yes,64,Fiber optic,Yes,Yes,Two year,Yes,Bank transfer,111.6,7099.0,0,110.921875,4-6yr
8028-PNXHQ,0,Yes,Yes,62,No,No,No,Two year,Yes,Bank transfer,24.25,1424.6,0,22.97741935483871,4-6yr
5630-AHZIL,0,No,Yes,3,DSL,Yes,Yes,Month-to-month,Yes,Bank transfer,64.5,177.4,0,59.13333333333333,0-1yr
2673-CXQEU,1,No,No,56,Fiber optic,Yes,No,One year,No,Electronic check,110.5,6139.5,0,109.63392857142857,4-6yr
6416-JNVRK,0,No,No,46,DSL,No,No,One year,No,Credit card,55.65,2688.85,0,58.45326086956521,2-4yr
5590-ZSKRV,0,Yes,Yes,8,DSL,Yes,No,Month-to-month,No,Mailed check,54.65,482.25,0,60.28125,0-1yr
0191-ZHSKZ,1,No,No,30,DSL,Yes,No,Month-to-month,Yes,Electronic check,74.75,2111.3,0,70.37666666666668,2-4yr
3887-PBQAO,0,Yes,Yes,45,No,No,No,One year,Yes,Credit card,25.9,1216.6,0,27.035555555555554,2-4yr
5919-TMRGD,0,No,Yes,1,Fiber optic,No,No,Month-to-month,Yes,Electronic check,79.35,79.35,1,79.35,0-1yr
8108-UXRQN,0,Yes,Yes,11,DSL,Yes,No,Month-to-month,No,Electronic check,50.55,565.35,0,51.39545454545455,0-1yr
9191-MYQKX,0,Yes,No,7,Fiber optic,No,No,Month-to-month,Yes,Bank transfer,75.15,496.9,1,70.98571428571428,0-1yr
9919-YLNNG,0,No,No,42,Fiber optic,No,Yes,Month-to-month,Yes,Bank transfer,103.8,4327.5,0,103.03571428571429,2-4yr
0318-ZOPWS,0,Yes,No,49,No,No,No,Two year,Yes,Bank transfer,20.15,973.35,0,19.864285714285714,4-6yr
4445-ZJNMU,0,No,No,9,Fiber optic,No,No,Month-to-month,Yes,Credit card,99.3,918.75,0,102.08333333333333,0-1yr
4808-YNLEU,0,Yes,No,35,DSL,Yes,No,One year,Yes,Bank transfer,62.15,2215.45,0,63.29857142857142,2-4yr
1862-QRWPE,0,Yes,Yes,48,No,No,No,Two year,No,Bank transfer,20.65,1057.0,0,22.020833333333332,2-4yr
2796-NNUFI,0,Yes,Yes,46,No,No,No,Two year,Yes,Mailed check,19.95,927.1,0,20.15434782608696,2-4yr
3016-KSVCP,0,Yes,No,29,DSL,No,No,Month-to-month,No,Mailed check,33.75,1009.25,0,34.80172413793103,2-4yr
4767-HZZHQ,0,Yes,Yes,30,Fiber optic,No,No,Month-to-month,No,Bank transfer,82.05,2570.2,0,85.67333333333333,2-4yr
2424-WVHPL,1,No,No,1,Fiber optic,No,Yes,Month-to-month,No,Electronic check,74.7,74.7,0,74.7,0-1yr
7233-PAHHL,0,Yes,Yes,66,DSL,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,0,86.57954545454545,4-6yr
6067-NGCEU,0,No,No,65,Fiber optic,Yes,No,Month-to-month,Yes,Credit card,111.05,7107.0,0,109.33846153846154,4-6yr
9848-JQJTX,0,No,No,72,Fiber optic,No,No,Two year,Yes,Bank transfer,100.9,7459.05,0,103.59791666666666,4-6yr
8637-XJIVR,0,No,No,12,Fiber optic,Yes,No,Month-to-month,Yes,Electronic check,78.95,927.35,1,77.27916666666667,0-1yr
9803-FTJCG,0,Yes,Yes,71,DSL,Yes,Yes,One year,Yes,Credit card,66.85,4748.7,0,66.8830985915493,4-6yr
0278-YXOOG,0,No,No,5,No,No,No,Month-to-month,No,Mailed check,21.05,113.85,1,22.77,0-1yr
3212-KXOCR,0,No,No,52,No,No,No,Two year,No,Bank transfer,21.0,1107.2,0,21.292307692307695,4-6yr
4598-XLKNJ,1,Yes,No,25,Fiber optic,No,No,Month-to-month,Yes,Electronic check,98.5,2514.5,1,100.58,2-4yr
6380-ARCEH,0,No,No,1,No,No,No,Month-to-month,No,Mailed check,20.2,20.2,0,20.2,0-1yr
3679-XASPY,0,Yes,Yes,1,No,No,No,Month-to-month,No,Electronic check,19.45,19.45,0,19.45,0-1yr
7123-WQUHX,0,No,No,38,Fiber optic,No,Yes,One year,No,Bank transfer,95.0,3605.6,0,94.88421052631578,2-4yr
5386-THSLQ,1,Yes,No,66,DSL,No,No,One year,No,Bank transfer,45.55,3027.25,0,45.86742424242424,4-6yr
3192-NQECA,0,Yes,No,68,Fiber optic,No,Yes,Two year,Yes,Bank transfer,110.0,7611.85,1,111.93897058823529,4-6yr
6180-YBIQI,0,No,No,5,DSL,No,No,Month-to-month,No,Mailed check,24.3,100.2,0,20.04,0-1yr
6728-DKUCO,0,Yes,Yes,72,Fiber optic,Yes,No,One year,Yes,Electronic check,104.15,7303.05,0,101.43125,4-6yr
9750-BOOHV,0,No,No,32,DSL,Yes,No,One year,No,Mailed check,30.15,927.65,0,28.9890625,2-4yr
8597-CWYHH,0,No,No,43,Fiber optic,No,No,One year,No,Mailed check,94.35,3921.3,0,91.19302325581396,2-4yr
2848-YXSMW,0,Yes,Yes,72,No,No,No,Two year,No,Credit card,19.4,1363.25,0,18.93402777777778,4-6yr
0486-HECZI,0,Yes,No,55,Fiber optic,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,1,95.25272727272727,4-6yr
4549-ZDQYY,0,No,No,52,DSL,Yes,Yes,One year,No,Credit card,57.95,3042.25,0,58.50480769230769,4-6yr
5712-AHQNN,0,No,No,43,Fiber optic,No,No,Month-to-month,Yes,Electronic check,91.65,3954.1,0,91.95581395348837,2-4yr
4846-WHAFZ,1,Yes,No,37,Fiber optic,No,No,Month-to-month,Yes,Electronic check,76.5,2868.15,1,77.51756756756757,2-4yr
5256-SKJGO,0,Yes,Yes,64,DSL,No,Yes,Two year,Yes,Electronic check,54.6,3423.5,0,53.4921875,4-6yr
3071-VBYPO,0,Yes,Yes,3,Fiber optic,Yes,No,Month-to-month,No,Electronic check,89.85,248.4,0,82.8,0-1yr
9560-BBZXK,0,No,No,36,DSL,Yes,No,Two year,No,Bank transfer,31.05,1126.35,0,31.287499999999998,2-4yr
5299-RULOA,0,Yes,Yes,10,Fiber optic,Yes,No,Month-to-month,Yes,Electronic check,100.25,1064.65,1,106.465,0-1yr
8402-OOOHJ,0,No,No,41,No,No,No,Two year,No,Mailed check,20.65,835.15,0,20.36951219512195,2-4yr
9445-ZUEQE,0,Yes,Yes,27,Fiber optic,No,Yes,Month-to-month,Yes,Credit card,85.2,2151.6,0,79.68888888888888,2-4yr
1091-SOZGA,0,Yes,Yes,56,Fiber optic,No,No,One year,Yes,Credit card,99.8,5515.45,0,98.49017857142857,4-6yr
2928-HLDBA,0,No,No,6,No,No,No,Month-to-month,No,Mailed check,20.7,112.75,0,18.791666666666668,0-1yr
0404-SWRVG,0,No,No,3,Fiber optic,No,No,Month-to-month,Yes,Electronic check,74.4,229.55,1,76.51666666666667,0-1yr
6497-TILVL,0,Yes,Yes,7,DSL,Yes,No,Month-to-month,No,Mailed check,50.7,350.35,0,50.050000000000004,0-1yr
7219-TLZHO,0,Yes,Yes,4,No,No,No,Month-to-month,No,Mailed check,20.85,62.9,0,15.725,0-1yr
4622-YNKIJ,0,No,No,33,Fiber optic,Yes,Yes,Two year,Yes,Electronic check,88.95,3027.65,0,91.7469696969697,2-4yr
4412-YLTKF,1,No,No,27,Fiber optic,No,No,Month-to-month,Yes,Electronic check,78.05,2135.5,1,79.0925925925926,2-4yr
6734-PSBAW,0,Yes,No,72,No,No,No,Two year,Yes,Bank transfer,23.55,1723.95,0,23.94375,4-6yr
3930-ZGWVE,0,No,No,1,No,No,No,Month-to-month,No,Mailed check,19.75,19.75,0,19.75,0-1yr
2639-UGMAZ,1,No,No,71,DSL,Yes,No,One year,Yes,Electronic check,56.45,3985.35,0,56.131690140845066,4-6yr
2876-GZYZC,0,No,No,13,Fiber optic,No,No,Month-to-month,Yes,Electronic check,85.95,1215.65,0,93.51153846153846,1-2yr
6207-WIOLX,0,Yes,Yes,25,DSL,Yes,No,Month-to-month,Yes,Credit card,58.6,1502.65,1,60.106,2-4yr
8587-XYZSF,0,No,No,67,DSL,No,Yes,Two year,No,Bank transfer,50.55,3260.1,0,48.65820895522388,4-6yr
3091-FYHKI,0,No,No,1,DSL,No,No,Month-to-month,Yes,Electronic check,35.45,35.45,1,35.45,0-1yr
2372-HWUHI,0,No,No,2,DSL,No,No,Month-to-month,No,Electronic check,44.35,81.25,1,40.625,0-1yr
7799-LGRDP,0,No,No,43,No,No,No,Two year,Yes,Credit card,25.7,1188.2,0,27.632558139534886,2-4yr
7850-VWJUU,0,No,No,23,Fiber optic,Yes,No,Month-to-month,Yes,Bank transfer,75.0,1778.5,0,77.32608695652173,1-2yr
3774-VBNXY,0,Yes,Yes,64,No,No,No,Two year,No,Mailed check,20.2,1277.75,0,19.96484375,4-6yr
6217-KDYWC,0,No,Yes,57,No,No,No,Two year,Yes,Mailed check,19.6,1170.55,0,20.5359649122807,4-6yr
0390-DCFDQ,1,Yes,No,1,Fiber optic,No,No,Month-to-month,Yes,Mailed check,70.45,70.45,1,70.45,0-1yr
3146-MSEGF,1,Yes,Yes,72,DSL,Yes,Yes,Two year,Yes,Credit card,88.05,6425.65,0,89.24513888888889,4-6yr
4080-OGPJL,0,No,No,8,DSL,Yes,Yes,Month-to-month,No,Electronic check,71.15,563.65,1,70.45625,0-1yr
1095-WGNGG,0,Yes,No,61,Fiber optic,No,No,Two year,Yes,Bank transfer,101.05,5971.25,0,97.88934426229508,4-6yr
2636-SJDOU,0,No,No,64,Fiber optic,Yes,No,One year,Yes,Credit card,84.3,5289.05,0,82.64140625,4-6yr
1131-QQZEB,1,Yes,No,71,No,No,No,Two year,No,Bank transfer,23.95,1756.2,0,24.735211267605635,4-6yr
5716-EZXZN,0,Yes,Yes,65,Fiber optic,Yes,Yes,Two year,Yes,Credit card,99.05,6416.7,0,98.71846153846154,4-6yr
6837-BJYDQ,0,No,No,3,No,No,No,One year,No,Mailed check,19.6,61.35,0,20.45,0-1yr
2135-RXIHG,0,No,No,1,DSL,No,No,Month-to-month,Yes,Electronic check,45.65,45.65,1,45.65,0-1yr
6440-DKQGE,0,No,Yes,30,DSL,No,No,One year,No,Credit card,64.5,1929.95,0,64.33166666666666,2-4yr
3466-BYAVD,0,Yes,Yes,15,DSL,No,Yes,Month-to-month,Yes,Mailed check,69.5,1071.4,0,71.42666666666668,1-2yr
3780-YVMFA,0,Yes,Yes,8,DSL,No,Yes,Month-to-month,Yes,Electronic check,68.55,564.35,0,70.54375,0-1yr
3874-EQOEP,0,No,No,7,Fiber optic,No,No,Month-to-month,No,Mailed check,95.0,655.5,1,93.64285714285714,0-1yr
1679-JRFBR,0,Yes,Yes,70,Fiber optic,Yes,No,One year,Yes,Credit card,108.15,7930.55,0,113.29357142857143,4-6yr
9073-ZZIAY,0,Yes,Yes,62,DSL,Yes,Yes,Two year,No,Electronic check,86.1,5215.25,0,84.11693548387096,4-6yr
3077-RSNTJ,0,Yes,Yes,6,No,No,No,Month-to-month,No,Mailed check,19.7,113.5,0,18.916666666666668,0-1yr
6551-GNYDG,0,Yes,Yes,14,Fiber optic,No,No,Month-to-month,Yes,Bank transfer,80.9,1152.8,0,82.34285714285714,1-2yr
9167-APMXZ,0,No,No,22,Fiber optic,No,No,Month-to-month,Yes,Bank transfer,84.15,1821.95,0,82.81590909090909,1-2yr
2749-CTKAJ,0,Yes,Yes,22,No,No,No,One year,No,Mailed check,20.15,419.9,0,19.086363636363636,1-2yr
6371-NZYEG,0,Yes,Yes,16,DSL,Yes,No,Two year,No,Mailed check,64.25,1024.0,0,64.0,1-2yr
7554-NEWDD,0,No,No,10,No,No,No,Two year,No,Bank transfer,25.7,251.6,0,25.16,0-1yr
8992-VONJD,0,No,Yes,13,DSL,Yes,No,Month-to-month,Yes,Electronic check,56.0,764.55,0,58.81153846153846,1-2yr
0867-MKZVY,0,Yes,No,20,Fiber optic,Yes,No,Month-to-month,No,Electronic check,82.4,1592.35,1,79.61749999999999,1-2yr
4482-EWFMI,0,No,No,2,Fiber optic,No,No,Month-to-month,Yes,Electronic check,69.7,135.2,0,67.6,0-1yr
4648-YPBTM,0,No,No,53,DSL,No,Yes,Two year,Yes,Bank transfer,73.9,3958.25,0,74.68396226415095,4-6yr
2907-ILJBN,0,Yes,Yes,11,No,No,No,One year,No,Mailed check,20.6,233.9,0,21.263636363636365,0-1yr
6345-FZOQH,0,Yes,No,69,No,No,No,Two year,No,Mailed check,19.9,1363.45,0,19.76014492753623,4-6yr
3376-BMGFE,0,No,No,4,Fiber optic,No,No,Month-to-month,Yes,Bank transfer,70.9,273.0,1,68.25,0-1yr
5997-OPVFA,0,Yes,No,72,DSL,Yes,Yes,Two year,Yes,Bank transfer,89.05,6254.45,0,86.86736111111111,4-6yr
3445-HXXGF,1,Yes,No,58,DSL,No,No,Month-to-month,Yes,Electronic check,45.3,2651.2,1,45.710344827586205,4-6yr
1159-WFSGR,0,Yes,Yes,16,No,No,No,Month-to-month,No,Electronic check,20.4,321.4,0,20.0875,1-2yr
7654-YWJUF,0,Yes,No,43,Fiber optic,Yes,Yes,One year,Yes,Bank transfer,84.25,3539.25,0,82.30813953488372,2-4yr
1875-QIVME,0,Yes,No,2,Fiber optic,No,Yes,Month-to-month,Yes,Electronic check,104.4,242.8,1,121.4,0-1yr
6727-IOTLZ,0,Yes,No,14,DSL,No,Yes,Two year,No,Mailed check,81.95,1181.75,0,84.41071428571429,1-2yr
0691-JVSYA,0,Yes,No,53,Fiber optic,No,No,One year,Yes,Bank transfer,94.85,5000.2,1,94.3433962264151,4-6yr
5918-VUKWP,0,No,No,32,No,No,No,One year,No,Bank transfer,20.55,654.55,0,20.4546875,2-4yr
1744-JHKYS,0,Yes,No,34,No,No,No,Month-to-month,No,Electronic check,24.7,780.2,0,22.947058823529414,2-4yr
2656-FMOKZ,1,No,No,15,Fiber optic,No,No,Month-to-month,Yes,Mailed check,74.45,1145.7,1,76.38000000000001,1-2yr
2070-FNEXE,1,No,No,7,Fiber optic,Yes,No,Month-to-month,No,Bank transfer,76.45,503.6,1,71.94285714285715,0-1yr
5947-SGKCL,0,Yes,Yes,15,Fiber optic,No,No,Month-to-month,Yes,Bank transfer,105.35,1559.25,0,103.95,1-2yr
3712-PKXZA,0,Yes,No,61,No,No,No,One year,Yes,Credit card,20.55,1252.0,0,20.524590163934427,4-6yr
6317-YPKDH,0,No,No,1,DSL,No,No,Month-to-month,No,Bank transfer,29.95,29.95,1,29.95,0-1yr
6582-OIVSP,0,No,No,1,DSL,No,No,Month-to-month,No,Mailed check,45.3,45.3,0,45.3,0-1yr
9367-WXLCH,0,No,No,8,Fiber optic,No,No,Month-to-month,No,Bank transfer,84.5,662.65,1,82.83125,0-1yr
5524-KHNJP,0,Yes,Yes,33,DSL,Yes,No,One year,No,Credit card,74.75,2453.3,0,74.34242424242424,2-4yr
1918-ZBFQJ,0,No,No,13,Fiber optic,No,No,Month-to-month,Yes,Electronic check,79.25,1111.65,1,85.51153846153846,1-2yr
1024-GUALD,0,Yes,No,1,DSL,No,No,Month-to-month,Yes,Electronic check,24.8,24.8,1,24.8,0-1yr
4827-USJHP,0,No,No,20,DSL,No,No,Month-to-month,Yes,Mailed check,51.8,1023.85,0,51.1925,1-2yr
8167-GJLRN,0,No,No,3,DSL,No,Yes,Month-to-month,No,Electronic check,30.4,82.15,0,27.383333333333336,0-1yr
0956-SYCWG,0,No,No,13,No,No,No,One year,No,Electronic check,19.65,244.8,0,18.83076923076923,1-2yr
8017-UVSZU,0,Yes,No,40,DSL,No,No,Month-to-month,No,Credit card,56.6,2379.1,0,59.4775,2-4yr
7100-FQPRV,0,Yes,Yes,43,DSL,Yes,Yes,One year,Yes,Credit card,71.9,3173.35,0,73.79883720930232,2-4yr
2472-OVKUP,0,Yes,No,6,Fiber optic,No,No,Month-to-month,Yes,Electronic check,91.0,531.0,1,88.5,0-1yr
2984-RGEYA,0,Yes,Yes,69,No,No,No,Two year,No,Bank transfer,19.75,1375.4,0,19.933333333333334,4-6yr
9680-NIAUV,0,Yes,Yes,72,Fiber optic,Yes,No,Two year,No,Credit card,109.7,8129.3,0,112.90694444444445,4-6yr
2146-EGVDT,0,Yes,Yes,59,No,No,No,Two year,No,Credit card,19.3,1192.7,0,20.215254237288136,4-6yr
2604-IJPDU,0,Yes,No,20,Fiber optic,Yes,Yes,Month-to-month,Yes,Electronic check,96.55,1901.65,0,95.08250000000001,1-2yr
9178-JHUVJ,0,Yes,Yes,24,No,No,No,Two year,Yes,Bank transfer,24.1,587.4,0,24.474999999999998,1-2yr
6168-YBYNP,0,No,No,59,Fiber optic,No,Yes,Month-to-month,Yes,Electronic check,111.35,6519.75,0,110.5042372881356,4-6yr
7255-SSFBC,0,Yes,Yes,72,Fiber optic,No,Yes,Two year,Yes,Bank transfer,112.25,8041.65,0,111.68958333333333,4-6yr
3645-DEYGF,0,No,Yes,1,No,No,No,Month-to-month,No,Mailed check,20.75,20.75,0,20.75,0-1yr
9323-HGFWY,0,Yes,No,27,Fiber optic,Yes,Yes,One year,Yes,Credit card,101.9,2681.15,0,99.30185185185185,2-4yr
8544-GOQSH,0,No,No,14,Fiber optic,No,Yes,Month-to-month,Yes,Credit card,80.05,1112.3,0,79.45,1-2yr
3363-DTIVD,0,Yes,Yes,71,Fiber optic,Yes,No,Two year,No,Electronic check,105.55,7405.5,0,104.30281690140845,4-6yr
7018-WBJNK,0,No,Yes,13,Fiber optic,No,No,Month-to-month,Yes,Credit card,78.3,1033.95,0,79.53461538461539,1-2yr
9142-KZXOP,0,No,No,44,Fiber optic,No,No,Month-to-month,No,Credit card,68.85,2958.95,0,67.24886363636364,2-4yr
7674-YTAFD,0,No,No,33,Fiber optic,No,Yes,One year,Yes,Bank transfer,79.95,2684.85,0,81.35909090909091,2-4yr
